,model,knowledge,testName,pass@1,pass@5,pass@10,compile@1,compile@5,compile@10
26,Claude 3.7B Sonnet,No Knowledge,Count Down,0.1500,0.6009,0.8947,0.35,0.9169891640866873,0.9984520123839009
30,Claude 3.7B Sonnet,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
31,Claude 3.7B Sonnet,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.19999999999999996,0.7182662538699691,0.956656346749226
29,Claude 3.7B Sonnet,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
24,Claude 3.7B Sonnet,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
25,Claude 3.7B Sonnet,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.5,0.9837461300309598,0.9999945874558878
22,Claude 3.7B Sonnet,No Knowledge,Calculate Gradient,0.0500,0.2500,0.5000,0.09999999999999998,0.4473684210526315,0.7631578947368421
23,Claude 3.7B Sonnet,No Knowledge,Calculate Gradient (Obstacles),0.0500,0.2500,0.5000,0.050000000000000044,0.25,0.5
27,Claude 3.7B Sonnet,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
28,Claude 3.7B Sonnet,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
32,Claude 3.7B Sonnet,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
4,Claude 3.7B Sonnet,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
8,Claude 3.7B Sonnet,Basic Knowledge,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
9,Claude 3.7B Sonnet,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
7,Claude 3.7B Sonnet,Basic Knowledge,Gather Neighbors IDs,0.9000,1.0000,1.0000,0.95,1.0,1.0
2,Claude 3.7B Sonnet,Basic Knowledge,Calculate Min Distance Neighbors,0.7000,0.9996,1.0000,0.9,1.0,1.0
3,Claude 3.7B Sonnet,Basic Knowledge,Collect Max ID,1.0000,1.0000,1.0000,1.0,1.0,1.0
0,Claude 3.7B Sonnet,Basic Knowledge,Calculate Gradient,0.9000,1.0000,1.0000,0.95,1.0,1.0
1,Claude 3.7B Sonnet,Basic Knowledge,Calculate Gradient (Obstacles),0.2500,0.8063,0.9837,0.8,1.0,1.0
5,Claude 3.7B Sonnet,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.5,0.9837461300309598,0.9999945874558878
6,Claude 3.7B Sonnet,Basic Knowledge,Create Channel (Obstacles),0.1000,0.4474,0.7632,0.75,0.9999355005159959,1.0
10,Claude 3.7B Sonnet,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
15,Claude 3.7B Sonnet,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
19,Claude 3.7B Sonnet,Knowledge with Building Blocks,Neighbors Count,0.9500,1.0000,1.0000,1.0,1.0,1.0
20,Claude 3.7B Sonnet,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
18,Claude 3.7B Sonnet,Knowledge with Building Blocks,Gather Neighbors IDs,0.8000,1.0000,1.0000,0.85,1.0,1.0
13,Claude 3.7B Sonnet,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.5500,0.9919,1.0000,1.0,1.0,1.0
14,Claude 3.7B Sonnet,Knowledge with Building Blocks,Collect Max ID,0.9000,1.0000,1.0000,0.95,1.0,1.0
